"name","genre","year_released"
"BioShock 2","First-person shooter",2010
"Metro 2033","Post-apocalyptic, FPS",2010
"Lara Croft and the Guardian of Light","Action-adventure",2010
"Assassin's Creed: Brotherhood","Action-adventure",2010
"S.T.A.L.K.E.R.: Call of Pripyat","First-person shooter",2010
"Dragon Age: Origins – Awakening","Role-playing",2010
"The Sims 3: Late Night","Life simulation",2010
"Star Trek Online","MMORPG",2010
"Silent Hunter 5: Battle of the Atlantic","Submarine simulator",2010
"Age of Pirates 2: City of Abandoned Ships","Role-playing video game",2009
"Battleforge","RTS",2009
"ARMA 2","Tactical shooter, military simulation, open world",2009
"Actua Soccer","Soccer",2009
"Hearts of Iron III","Grand strategy",2009
"Torchlight","Action RPG, hack and slash",2009
"4x4 Hummer","Racing",2009
"Delta Force: Xtreme 2","First-person shooter",2009
"Tropico 3","Construction and management simulation, City-building game",2009
"Braid","Puzzle, platform",2009
"A Fairy Tale","Matching",2009
"Borderlands","Action role-playing, first-person shooter",2009
"Dragon Age: Origins","Role-playing",2009
"Damnation","Third-person shooter",2009
"PP: Pianissimo","Mystery",2009
"King Arthur: The Role-Playing Wargame","Turn-based strategy, real-time tactics",2009
"Train Simulator","Simulation",2009
"Adam's Venture","Adventure",2009
"Cryostasis: Sleep of Reason","Survival horror",2009
"Batman: Arkham Asylum","Action, adventure",2009
"Epic Battle Fantasy 2","Role-playing",2009
"Epic Battle Fantasy","Role-playing",2009
"Resident Evil 5","Action-adventure, third-person shooter",2009
"Neverwinter Nights 2: Mysteries of Westgate","RPG",2009
"Cities XL","City-building game, massively multiplayer online game",2009
"Empire: Total War","RTS",2009
"Spore Galactic Adventures","Life simulation",2009
"Battlefield Heroes","First-person shooter",2009
"Age of Booty","Real-time Strategy (RTS)",2009
"Order of War","Strategy",2009
"Call of Duty: Modern Warfare 2","Action, FPS",2009
"For the Glory: A Europa Universalis Game","Grand strategy",2009
"World in Conflict: Soviet Assault","Real-time tactics",2009
"The Sims 3","Life simulation",2009
"Assassin’s Creed II","Action-adventure",2009
"Warhammer 40,000: Dawn of War II","Real-time tactics",2009
"Saints Row 2","Action-adventure, open world",2009
"NBA 2K10","Sports",2009
"League of Legends","MOBA",2009
"Colin McRae: Dirt 2","Racing game",2009
"Burnout Paradise: The Ultimate Box","Racing",2009
"Zuma's Revenge!","Puzzle",2009
"AaAaAA!!! – A Reckless Disregard for Gravity","Simulation",2009
"Killing Floor","First-person shooter",2009
"Fallout 3","RPG",2008
"Audiosurf","Music, indie",2008
"Brothers in Arms: Hell's Highway","First-person shooter",2008
"007: Quantum of Solace","First-person shooter",2008
"Call of Duty: World at War","Action, FPS",2008
"Classic British Motor Racing","Racing",2008
"The Club","Third-person shooter",2008
"Command & Conquer: Red Alert 3","RTS",2008
"Counter-Strike Online","First-person shooter",2008
"Crysis Warhead","First-person shooter",2008
"Dead Space","Survival horror, third-person shooter",2008
"Digital Combat Simulator","Flight simulator",2008
"Euro Truck Simulator","Simulator",2008
"Far Cry 2","First-person shooter",2008
"Gothic 3: Forsaken Gods","Action role-playing",2008
"Grand Theft Auto IV","Open world, action-adventure",2008
"GTR Evolution","Racing",2008
"Aion","Massively multiplayer online role-playing game",2008
"Ai Space","MMOSG, Virtual world",2008
"Lego Batman: The Videogame","Action-adventure",2008
"Mirror's Edge","First-person action-adventure, platform",2008
"Mount & Blade","Action RPG",2008
"NBA 2K9","Sports",2008
"Neverwinter Nights 2: Storm of Zehir","RPG",2008
"4Story","MMORPG",2008
"Age of Conan","MMORPG",2008
"Overgrowth","Action",2008
"Penumbra: Black Plague","Survival horror",2008
"Penumbra: Requiem","Survival horror",2008
"5","Eroge, visual novel",2008
"The Settlers: Awakening of Cultures","City-building game, Real-Time Strategy",2008
"The Sims 2: Apartment Life","Life simulation",2008
"The Sims 2: FreeTime","Life simulation",2008
"Sins of a Solar Empire","RTS",2008
"Spore","Life simulation",2008
"S.T.A.L.K.E.R.: Clear Sky","First-person shooter",2008
"Stronghold: Crusader Extreme","RTS",2008
"Tomb Raider: Underworld","Action-adventure",2008
"TrackMania Forever","Racing",2008
"TrackMania Nations Forever","Racing",2008
"Aces of the Galaxy","Rail shooter",2008
"World of Goo","Puzzle",2008
"World of Warcraft: Wrath of the Lich King","Online role-playing game",2008
"X3: Terran Conflict","Space simulation",2008
"ZoMGman! 2","Co-op Battle Arena",2008
"Unreal Tournament 3","First-person shooter",2007
"Alpha Prime","First-person shooter",2007
"Fiesta Online","MMORPG",2007
"Poptropica","Virtual World",2007
"ZoMGman! Battle Arena","Co-op Battle Arena",2007
"Empire Earth III","RTS",2007
"The Ship","First-person shooter",2007
"Penumbra: Overture","Survival horror",2007
"Half-Life 2: Episode Two","First-person shooter",2007
"Portal","Puzzle-platform game",2007
"Age of Chivalry","Action",2007
"Silent Hunter 4: Wolves of the Pacific","Submarine simulator",2007
"Fistful of Frags","First-person shooter",2007
"Crysis","First-person shooter",2007
"AGEOD's American Civil War","Turn-based strategy",2007
"Tomb Raider: Anniversary","Action-adventure",2007
"Neverwinter Nights 2: Mask of the Betrayer","RPG",2007
"Assassin's Creed","Action-adventure",2007
"SimCity Societies","City-building",2007
"Juiced 2: Hot Import Nights","Racing",2007
"The Sims 2: Bon Voyage","Life simulation",2007
"The Lord of the Rings Online","MMORPG",2007
"The Sims 2: Seasons","Life simulation",2007
"FlatOut: Ultimate Carnage","Racing, arcade",2007
"Team Fortress 2","First-person shooter",2007
"S.T.A.L.K.E.R.: Shadow of Chernobyl","First-person shooter",2007
"Surf's Up","Sports",2007
"Supreme Commander","RTS",2007
"3DiTeams","Serious game",2007
"BioShock","First-person shooter",2007
"Call of Duty 4: Modern Warfare","Action, FPS",2007
"Rock 'n' Roll Adventures","Platform",2007
"Agatha Christie: Evil Under the Sun","Adventure",2007
"The Settlers: Rise of an Empire","City-building game, Real-Time Strategy",2007
"World of Warcraft: The Burning Crusade","Online role-playing game",2007
"osu!","Rhythm, music",2007
"Halo 2","First-person shooter",2007
"Age of Empires III: The Asian Dynasties","Real-time Strategy (RTS)",2007
"Zoo Tycoon 2: Extinct Animals","Business simulation",2007
"1914 Shells of Fury","Simulation",2007
"World in Conflict","Real-time tactics",2007
"The Witcher","Action role-playing",2007
"Colin McRae: Dirt","Racing game",2007
"Europa Universalis III","Grand strategy",2007
"Jade Empire","Action role-playing",2007
"Mass Effect","RPG, Action, science fiction",2007
"Command & Conquer 3: Tiberium Wars","RTS",2007
"Guitar Hero III: Legends of Rock","Music, Rhythm",2007
"Sid Meier's Railroads!","Business simulation",2006
"Out of the Park Baseball","Sports",2006
"18 Wheels of Steel: Haulin'","Vehicle simulation",2006
"ARMA: Armed Assault","Tactical shooter, military simulation, open world",2006
"ParaWorld","Real-time strategy",2006
"Zoo Tycoon 2: Marine Mania","Business simulation",2006
"Hard Truck Apocalypse","Vehicular combat",2006
"Zoo Tycoon 2: Dino Danger Pack","Business simulation",2006
"Zoo Tycoon 2: African Adventure","Business simulation",2006
"Age of Pirates: Caribbean Tales","Role-playing video game",2006
"Half-Life 2: Episode One","First-person shooter",2006
"Just Cause","Open world, action",2006
"Ace Online","MMO, 3D Space Shooter",2006
"Age of Empires III: The WarChiefs","Real-time Strategy (RTS)",2006
"London Taxi: Rush Hour","Driving",2006
